Empresa,Bolsa de valores,Denominacion abreviada, Posicion en Business Week,Precio,Ganancia
Abbott Laboratories,N,ABT,90,46,2.02
Altria Group,N,MO,148,66,4.57
Apollo Group,NQ,APOL,174,74,0.9
Bank of New York,N,BK,305,30,1.85
Bristol-Myers Squibb,N,BMY,346,26,1.21
Cincinnati Financial,NQ,CINF,161,45,2.73
Comcast,NQ,CMCSA,296,32,0.43
Deere,N,DE,36,71,577
eBay,NQ,EBAY,19,43,0.57
Federated Dept Stores,N,FD,353,56,3.86
Hasbro,N,HAS,373,21,0.96
IBM,N,IBM,216,93,4.94
International Paper,N,IP,370,37,0.98
Knight-Ridder,N,KRI,397,66,4.13
Manor Care,N,HCR,285,34,1.9
Medtronic,N,MDT,53,52,1.79
National Semiconductor,N,NSM,155,20,1.03
Novellus Systems,NQ,NVLS,386,30,1.06
Pitney Bowes,N,PBI,339,46,2.05
Pulte Homes,N,PHM,12,78,767
SBC Communications,N,SBC,371,24,1.52
St. Paul Travelers,N,STA,264,38,1.53
Teradyne,N,TER,412,15,0.84
UnitedHealth Group,N,UNH,5,91,3.94
Wells Fargo,N,WFC,159,59,4.09
